Project Name,Language,Framework,Description,Notes,Status,Authentication,Database,Server OS,Server(s) Location,Documentation,Repo,Application URL,Risk Management Considerations,Launch Date,End of Life Date
Chem-Awards,Javascript,PHP 8.1,"A database to keep track of all awards available for Chem faculty and faculty members, who are interested, nominated, reviewed and received awards",,Prod,Shibboleth,MySQL 5.7.32,,cPanel https://apps.chem.lsa.umich.edu:2083,https://docs.google.com/document/d/1zWgNymjCPI7TuOtbZ1HVd2MJFT22rtoKs1fcbdU19qc/edit,https://github.com/britaumich/chem-awards-current,https://apps.chem.lsa.umich.edu/chem-awards/,,,
Chemistry Recharge System,Javascript,PHP 5.6,create job requests and generate bills and reports for Chemistry Services.  5 shops use this.  5 folders with the same set of scripts but minor differences between each.,Huge project to rewrite and/or redesigned; Move to MiCore (,Prod,Cosign,MySQL 5.7.32,,cPanel https://apps-prod.chem.lsa.umich.edu:2083,"https://docs.google.com/document/d/1eYgA75Xyyi7bT6dvirtbFbrHaZWnPgv3V5JKttXKD3I/edit#  

Determine a strategy around maintenance and upkeep of Chemistry and Biology Legacy Applications:
https://docs.google.com/document/d/1LR1CQ0x53T-4AqHXNHkDRe9EGPuillTgMv-wJRol7oQ/edit#",https://github.com/britaumich/chem-recharge,https://apps-prod.chem.lsa.umich.edu/recharge/mainmenu.php,PHP 5.6; security issue duu to MySQL connector,,
Chemistry Dryice,Javascript,PHP 8.1,Tracks the number of dry ice requests and usage for the Chemistry department,,Prod,Shibboleth,MySQL 5.7.32,,cPanel https://apps.chem.lsa.umich.edu:2083,https://docs.google.com/document/d/1n0AFdfZB-N8M92iIfC1ZEIKG8vTjKxdJUfktQDDD9hc/edit,https://github.com/britaumich/chem-dryice,https://apps.chem.lsa.umich.edu/dryice/index.php,,,
Tim James czeum site,"Javascript, Wordpress",PHP 7.1,Collection of Zoosporic Eufungi at the University of Michigan (CZEUM),1/11/2021 Tim James emailed Rita B and asked to have a number of new features added to the application. This needs to be vetted and no updates have been promised. - done,Prod,open to public,MySQL 5.7.32,,cPanel https://czeum.herb.lsa.umich.edu:2083,https://docs.google.com/document/d/1YEIr5ocCQMvjoJKDr7nDBSgmYsrRcjnubZ9XSQQxJto/edit,https://github.com/britaumich/czeum-wordpress,https://czeum.herb.lsa.umich.edu/,,,
Malpighiaceae Nomenclature,,PHP 7.1,Christiane Anderson chra@umich.edu owns and updates this application,The maintainer Christiane Anderson chra@umich.edu does not write PHP so this application needs to be owned by W&ADS or a formal declariaton that we are not supporting it should be made.,Prod,open to public,MySQL 5.7.32,,cPanel http://malpighiaceae.herb.lsa.umich.edu:2083       ,,,http://malpighiaceae.herb.lsa.umich.edu/nomhome.html,"PHP 5.6, MySQL connector",,
CEAL,,PHP 8.1,"The app is designed to assist in recording information for LSA Department's ride-share program. Students/ staff/ faculty sign into the app to record information before, during and after they sign out and drive a vehicle to their community- based learning site. They record information such as mileage, gas level, location of the vehicle once they have parked, and more.",,"PHP is Prod until JUNE when Cosign is retired
-Rails version is STAGING",Cosign,MySQL 5.7.32,,cPanel https://vehiclereport.ceal.lsa.umich.edu:2083/,https://lsa.umich.edu/rc/ceal-ride.html,https://github.com/rsmoke/vehiclereport,https://vehiclereport.ceal.lsa.umich.edu/vehiclereport/,,,
LSA Ride Share,Rails 7,Ruby 3,"The app is designed to assist in recording information for LSA Department's ride-share program. Students/ staff/ faculty sign into the app to record information before, during and after they sign out and drive a vehicle to their community- based learning site. They record information such as mileage, gas level, location of the vehicle once they have parked, and more.",,STAGING -> PROD,Shibboleth,PostgreSQL,UBUNTU 20,Hatchbox/Digital Ocean,,https://github.com/lsa-mis/lsa_ride_share,https://rideshare-staging.lsa.umich.edu/,,,
CollegeConnections,,PHP 5.6,Collects LSA Alumni demographic information to be used for outreach and fund raising,PHP 5.6 is a security concern,Prod,Other: has it's own auth system,MySQL 5.7.32,,cPanel https://lsa-dmc.dean.lsa.umich.edu:2083/,,,https://lsa-dmc.dean.lsa.umich.edu/coll_conn,Limesurvey is end-of-llife for the 3.X version we currently run. This application needs to be migrated to the newer 4.x version by 12/31/20,,
Hopwood,,PHP 8.1,Contest application that allows student writers to submit their works that are judged by two groups of judges. The final outcome is a financial award for the best works.,,Prod,Cosign,MySQL 5.7.32,,cPanel https://quill.english.lsa.umich.edu:2083,,https://github.com/rsmoke/WritingContest,https://quill.english.lsa.umich.edu/WritingContest/,some aspects could be refactored,,
hopwoodjudging,,PHP 8.1,This is a sub application that allows for entries from the Hopwood Program to be judged by initial judges ,,Prod,Cosign / Uses Friend Accts,MySQL 5.7.32,,cPanel https://quill.english.lsa.umich.edu:2083,,git@github.com:rsmoke/hopwoodjudging.git,https://quill.english.lsa.umich.edu/hopwoodjudging/,some aspects could be refactored,,
